PassengerId,Survived_pred,Prob
892,0,0.15699362173963874
893,0,0.4108765688940028
894,0,0.1285967604873788
895,0,0.14443062708869886
896,0,0.4562030463655345
897,0,0.1772037506342722
898,1,0.8485507077647837
899,0,0.16645127316211894
900,1,0.7769905876795159
901,0,0.10160817977570764
902,0,0.144088315468024
903,0,0.1547789833676843
904,1,0.8874407767753831
905,0,0.1578321697708174
906,1,0.9100734895439528
907,1,0.8886429664918359
908,0,0.1345918601949239
909,0,0.16889949684398334
910,0,0.4152945572064912
911,1,0.5251807573142075
912,0,0.26747368007626776
913,1,0.5168221866585538
914,1,0.9012847555844609
915,0,0.2837710845441179
916,1,0.511392282529677
917,0,0.13681254896764156
918,1,0.8941407400722309
919,0,0.16382354466059315
920,0,0.15386338551907475
921,0,0.15464709102935623
922,0,0.15347311917194137
923,0,0.1368390511649383
924,0,0.33588967363305994
925,0,0.366331175545294
926,0,0.21363489635763133
927,0,0.18030529430931122
928,1,0.5131401443809492
929,1,0.5387377481101205
930,0,0.14496243861950817
931,0,0.258288812029575
932,0,0.1087034310614423
933,0,0.1546036684799079
934,0,0.15525259767751284
935,1,0.8594115339727513
936,1,0.9111686537571038
937,0,0.14289204754437274
938,0,0.15745223412963477
939,0,0.15143547657776063
940,1,0.8109830982956846
941,0,0.5
942,0,0.17916141440891972
943,0,0.13201289533079583
944,1,0.7383443044470971
945,1,0.8514611748011309
946,0,0.13112140171660785
947,0,0.1278532215072098
948,0,0.15155814599762335
949,0,0.14254124157786752
950,0,0.11574534032038208
951,1,0.8228667724200261
952,0,0.15822920586217662
953,0,0.14446444925776053
954,0,0.153999942364893
955,1,0.857498465141767
956,0,0.5058224396293713
957,1,0.8714965411682348
958,1,0.8554051035273351
959,0,0.15504437320724437
960,0,0.1527251170332207
961,0,0.24933973886822594
962,1,0.8573045184945104
963,0,0.14615662726114506
964,1,0.5102719637236004
965,0,0.15483941360451398
966,1,0.8505405463908661
967,0,0.15840408079682486
968,0,0.14429038174611641
969,1,0.798859447380929
970,0,0.14222998111575746
971,1,0.8573045184945104
972,1,0.6418572960012535
973,0,0.5
974,0,0.15436927823313745
975,0,0.144088315468024
976,0,0.13146887923642717
977,0,0.14844010726367746
978,1,0.8548593514671888
979,1,0.5522512558332315
980,1,0.8531127838849832
981,1,0.8692057066291339
982,0,0.4519049493253017
983,0,0.1439307210379851
984,1,0.9187838446796245
985,0,0.14429038174611641
986,0,0.1616094233375013
987,0,0.142726838201928
988,1,0.6994386972501245
989,0,0.14498157887492033
990,1,0.540680196579835
991,0,0.14955554322274534
992,1,0.8955840608157429
993,0,0.13831404938342629
994,0,0.15143547657776063
995,0,0.14284053220449636
996,1,0.8107593639430413
997,0,0.1678748998051896
998,0,0.15298963597675277
999,0,0.15143547657776063
1000,0,0.14517002230602902
1001,0,0.15906629333778316
1002,0,0.13197434076827882
1003,1,0.8531506512928692
