Id,SalePrice_pred
1461,117390.02616694997
1462,148256.89197378256
1463,173120.06930686638
1464,181845.80319292215
1465,195707.69872992352
1466,171183.79059778812
1467,175509.0377022368
1468,161737.63363943563
1469,209917.84101215267
1470,115140.42975625143
1471,183454.54461219918
1472,98536.74216812852
1473,88696.22050101064
1474,139796.8569024983
1475,107848.368446015
1476,351647.8733482193
1477,248499.95209677934
1478,324808.39270874334
1479,311437.45653878467
1480,450105.8818568443
1481,309438.05211011926
1482,215574.5520529474
1483,177524.27251760886
1484,161064.30576090707
1485,195297.14298115714
1486,201592.35679040884
1487,327972.28234223614
1488,238798.62801719777
1489,194475.35049929938
1490,245669.96980527462
1491,201651.6034166606
1492,92471.8707233209
1493,210098.48109590847
1494,292205.1888072293
1495,284462.3954786621
1496,233062.84679906353
1497,181282.909712339
1498,158287.6924957031
1499,160229.53577613953
1500,150377.61721072684
1501,192259.71825637936
1502,149066.6789388655
1503,267953.95886950206
1504,239363.42234443745
1505,222617.2924934939
1506,187561.19295460696
1507,245374.40360827564
1508,191965.25078114652
1509,161016.39811781613
1510,142090.99633292193
1511,148368.83799908435
1512,174539.17096362897
1513,158585.67954070374
1514,152923.4383112371
1515,204381.63608739743
1516,159127.63666285144
1517,169412.87020131666
1518,123858.19747450142
1519,216296.1671367787
1520,121328.18002353706
1521,122347.88263597408
1522,195331.23060436963
1523,99012.44077801565
1524,119830.42978486948
1525,107013.52136206444
1526,97465.46108105924
1527,97857.03924068756
1528,150622.74391238156
1529,144157.75760163245
1530,211289.9973494684
1531,134465.39799162108
1532,104809.59178421902
1533,150311.27956695057
1534,130681.1674836995
1535,149844.90953277794
1536,98799.84516527352
1537,37117.417855023596
1538,163474.99459008308
1539,207709.88430557496
1540,123079.09209604142
1541,133919.42997703305
1542,147802.8444783649
1543,176697.9635207001
1544,92131.9988167622
1545,129977.60335172991
1546,139747.90025746895
1547,137281.48904006238
1548,140070.28297791362
1549,117209.54294907335
1550,137875.33599141124
1551,112623.32946209973
1552,138121.41733062683
1553,157938.8108309161
1554,120797.7014275048
1555,153091.68205162848
1556,77873.3834932559
1557,91014.16537132168
1558,96321.04017548474
1559,92079.09255074064
1560,133941.49077007774
1561,115028.43847977629
1562,130274.95794706223
1563,122497.66058824545
1564,145285.82308999254
1565,145465.8656667228
1566,253129.0732078362
1567,73998.60185723455
1568,224904.57256362814
1569,109197.2049440041
1570,141494.32845965706
1571,105421.09956371895
1572,144928.65259641368
1573,241913.07855092996
1574,122485.58361161119
1575,243301.76138495433
1576,230169.01098670298
1577,181085.7544438433
1578,145453.86367647426
1579,132254.80025490376
1580,190291.71168634438
1581,158107.65536382873
1582,133559.93003624256
1583,276844.31922803377
1584,223990.21048693257
1585,144615.42847531004
1586,44608.0045385103
1587,109063.78549006747
1588,162107.46336497122
1589,106854.99408856404
1590,134517.4606063113
1591,93587.1083243708
1592,125106.70605867269
1593,134958.31350777796
1594,136419.40797749127
1595,114777.92527171323
1596,220283.82336619173
1597,184481.08967248193
1598,214958.38696525464
1599,197706.60236644727
1600,173945.11062812005
1601,34029.720191652785
1602,126779.92310736739
1603,77026.82740978757
1604,298344.20824958547
1605,240133.32963433798
1606,154347.73242856775
1607,165438.75117164096
1608,212481.88168306614
1609,181681.40158044818
1610,153742.73665940246
1611,134871.62815320777
1612,191836.24145339956
1613,164368.72665647278
1614,143296.08908474256
1615,85599.21410300594
1616,70662.24106090743
